Region,Country,Source Name,Type,Bias / Lean,Language,Notes
North America,Guatemala,Prensa Libre,Newspaper / Digital,Center-Right,Spanish,Largest Guatemalan daily
North America,Guatemala,elPeriódico,Newspaper / Digital,Center-Left,Spanish,Investigative; editor imprisoned (2022)
North America,Guatemala,Nómada,Digital,Center-Left,Spanish,Investigative digital
North America,Honduras,El Heraldo,Newspaper / Digital,Center-Right,Spanish,Major daily
North America,Honduras,La Prensa,Newspaper / Digital,Center-Right,Spanish,San Pedro Sula based
North America,Honduras,Contracorriente,Digital,Center-Left,Spanish,Independent investigative
North America,El Salvador,El Diario de Hoy,Newspaper / Digital,Center-Right,Spanish,Major daily
North America,El Salvador,La Prensa Gráfica,Newspaper / Digital,Center,Spanish,Largest circulation
North America,El Salvador,El Faro,Digital,Center-Left,Spanish,Award-winning investigative; critical of Bukele
North America,Nicaragua,Confidencial,Digital,Center-Left,Spanish,Carlos Fernando Chamorro; exiled
North America,Nicaragua,La Prensa,Newspaper / Digital,Center-Right,Spanish,Historic opposition daily; raided by govt
North America,Costa Rica,La Nación,Newspaper / Digital,Center-Right,Spanish,Leading daily
North America,Costa Rica,Semanario Universidad,Newspaper / Digital,Center-Left,Spanish,UCR weekly
North America,Panama,La Prensa,Newspaper / Digital,Center,Spanish,Largest Panamanian daily
North America,Panama,La Estrella de Panamá,Newspaper / Digital,Center,Spanish,Oldest running paper
North America,Cuba,Granma,Newspaper / Digital,State-Controlled,Spanish,Official Communist Party organ
North America,Cuba,14ymedio,Digital,Center-Right,Spanish,Independent; Yoani Sánchez; dissident
North America,Cuba,CubaNet,Digital,Right,Spanish,Miami-based exile media
North America,Dominican Republic,Listín Diario,Newspaper / Digital,Center,Spanish,Oldest daily
North America,Dominican Republic,Diario Libre,Newspaper / Digital,Center,Spanish,Free daily; large circulation
North America,Haiti,Le Nouvelliste,Newspaper / Digital,Center,French,Oldest Haitian daily
North America,Haiti,AyiboPost,Digital,Center-Left,French / Creole,Independent digital
North America,Jamaica,The Gleaner,Newspaper / Digital,Center,English,Oldest English Caribbean paper (1834)
North America,Jamaica,Jamaica Observer,Newspaper / Digital,Center,English,Second national daily
North America,Trinidad & Tobago,Trinidad Express,Newspaper / Digital,Center,English,Major daily
North America,Trinidad & Tobago,Newsday,Newspaper / Digital,Center,English,Independent daily
North America,Belize,Amandala,Newspaper,Center-Left,English,Largest Belizean paper
South America,Brazil,Folha de S.Paulo,Newspaper / Digital,Center-Left,Portuguese,Largest circulation Brazilian daily
South America,Brazil,O Globo,Newspaper / Digital,Center-Right,Portuguese,Grupo Globo; Rio-based
South America,Brazil,O Estado de S. Paulo (Estadão),Newspaper / Digital,Center-Right,Portuguese,Quality broadsheet; São Paulo
South America,Brazil,Valor Econômico,Newspaper / Digital,Center,Portuguese,Business/financial daily
South America,Brazil,TV Globo,TV / Digital,Center-Right,Portuguese,Dominant Brazilian broadcaster
South America,Brazil,Agência Brasil,Wire Service,State-Controlled,Portuguese,Government news agency (EBC)
South America,Brazil,The Intercept Brasil,Digital,Left,Portuguese,Investigative; Glenn Greenwald co-founded
South America,Brazil,Revista Piauí,Magazine / Digital,Center-Left,Portuguese,Long-form journalism
South America,Brazil,Brasil de Fato,Digital,Far Left,Portuguese,MST-affiliated; social movements
South America,Brazil,Jovem Pan,Radio / Digital,Right,Portuguese,Conservative radio/digital
South America,Brazil,Revista Oeste,Magazine / Digital,Right,Portuguese,Conservative magazine
South America,Brazil,UOL,Digital,Center,Portuguese,Major portal; Grupo Folha
South America,Brazil,Nexo Jornal,Digital,Center-Left,Portuguese,Explanatory journalism
South America,Argentina,Clarín,Newspaper / Digital,Center-Right,Spanish,Largest Argentine daily; Grupo Clarín
South America,Argentina,La Nación,Newspaper / Digital,Center-Right,Spanish,Conservative broadsheet
South America,Argentina,Página/12,Newspaper / Digital,Left,Spanish,Left/Kirchnerist perspective
South America,Argentina,Infobae,Digital,Center,Spanish,Largest Spanish-language digital
South America,Argentina,Perfil,Newspaper / Digital,Center,Spanish,Sunday paper; centrist
South America,Argentina,El Destape,Digital,Left,Spanish,Progressive; Kirchnerist-adjacent
South America,Argentina,La Derecha Diario,Digital,Right,Spanish,Right-wing commentary
South America,Colombia,El Tiempo,Newspaper / Digital,Center,Spanish,Largest Colombian daily; Santos family
South America,Colombia,El Espectador,Newspaper / Digital,Center-Left,Spanish,Oldest daily; strong investigative tradition
South America,Colombia,Semana,Magazine / Digital,Center-Right,Spanish,Leading newsmagazine
South America,Colombia,La Silla Vacía,Digital,Center-Left,Spanish,Political analysis and investigative
South America,Colombia,Caracol TV/Radio,TV / Radio / Digital,Center,Spanish,Major broadcast network
South America,Colombia,RCN,TV / Radio / Digital,Center-Right,Spanish,Second major broadcast network
South America,Colombia,Cuestión Pública,Digital,Center-Left,Spanish,Anti-corruption investigative
South America,Chile,El Mercurio,Newspaper / Digital,Center-Right,Spanish,Conservative paper of record; Edwards family
South America,Chile,La Tercera,Newspaper / Digital,Center-Right,Spanish,Second major daily
South America,Chile,CIPER Chile,Digital (Nonprofit),Center-Left,Spanish,Top investigative journalism
South America,Chile,The Clinic,Magazine / Digital,Left,Spanish,Satirical/progressive
South America,Chile,Interferencia,Digital,Left,Spanish,Investigative
South America,Chile,BioBioChile,Radio / Digital,Center,Spanish,Radio network with large digital presence
South America,Chile,Ex-Ante,Digital,Center-Right,Spanish,Political analysis
South America,Peru,El Comercio,Newspaper / Digital,Center-Right,Spanish,Leading Peruvian daily; Grupo El Comercio
South America,Peru,La República,Newspaper / Digital,Center-Left,Spanish,Progressive daily
South America,Peru,IDL-Reporteros,Digital,Center-Left,Spanish,Investigative unit
South America,Peru,Ojo Público,Digital (Nonprofit),Center-Left,Spanish,Data journalism / investigative
South America,Peru,RPP Noticias,Radio / Digital,Center,Spanish,Largest radio network
South America,Venezuela,El Nacional,Newspaper / Digital,Center-Right,Spanish,"Opposition; shuttered print, digital continues"
South America,Venezuela,El Universal,Newspaper / Digital,Center,Spanish,Major daily; sold in 2014 (ownership questions)
South America,Venezuela,Efecto Cocuyo,Digital,Center-Left,Spanish,Independent digital; post-crackdown
South America,Venezuela,Runrun.es,Digital,Center,Spanish,Independent investigative
South America,Venezuela,VTV (Venezolana de Televisión),TV,State-Controlled,Spanish,State broadcaster; Chavista
South America,Venezuela,TeleSUR,TV / Digital,State-Controlled,Spanish,Venezuelan-funded pan-Latin network; left
South America,Venezuela,Tal Cual,Digital,Center-Right,Spanish,Opposition digital
South America,Ecuador,El Universo,Newspaper / Digital,Center-Right,Spanish,Guayaquil-based; largest daily
South America,Ecuador,El Comercio,Newspaper / Digital,Center,Spanish,Quito-based daily
South America,Ecuador,GK (formerly GkillCity),Digital,Center-Left,Spanish,Independent digital journalism
South America,Ecuador,Plan V,Digital,Center-Left,Spanish,Investigative
South America,Bolivia,El Deber,Newspaper / Digital,Center-Right,Spanish,Santa Cruz; largest daily
South America,Bolivia,Página Siete,Newspaper / Digital,Center,Spanish,"La Paz daily (closed 2023, digital continues)"
South America,Bolivia,Los Tiempos,Newspaper / Digital,Center,Spanish,Cochabamba daily
South America,Bolivia,Erbol,Radio / Digital,Center-Left,Spanish,Radio network; community-oriented
South America,Paraguay,ABC Color,Newspaper / Digital,Center-Right,Spanish,Largest Paraguayan daily
South America,Paraguay,Última Hora,Newspaper / Digital,Center,Spanish,Second daily
South America,Paraguay,El Surtidor,Digital,Center-Left,Spanish,Visual investigative journalism
South America,Uruguay,El País,Newspaper / Digital,Center-Right,Spanish,Largest Uruguayan daily
South America,Uruguay,La Diaria,Newspaper / Digital,Left,Spanish,Cooperative-owned progressive daily
South America,Uruguay,El Observador,Newspaper / Digital,Center,Spanish,Quality daily
Europe,United Kingdom,BBC News,Public Broadcaster,Center,English,Global reach; publicly funded
Europe,United Kingdom,The Guardian,Newspaper / Digital,Center-Left,English,Scott Trust-owned; strong digital
Europe,United Kingdom,The Times,Newspaper / Digital,Center-Right,English,News UK (Murdoch); paper of record
Europe,United Kingdom,The Daily Telegraph,Newspaper / Digital,Right,English,Conservative broadsheet
Europe,United Kingdom,Financial Times,Newspaper / Digital,Center,English,Nikkei-owned; global business standard
Europe,United Kingdom,The Independent,Digital,Center-Left,English,Digital-only since 2016
Europe,United Kingdom,The Economist,Magazine / Digital,Center,English,Classical liberal; global analysis
Europe,United Kingdom,Daily Mail,Newspaper / Digital,Right,English,Tabloid; largest UK digital news site
Europe,United Kingdom,The Sun,Newspaper / Digital,Right,English,Tabloid; News UK
Europe,United Kingdom,Daily Mirror,Newspaper / Digital,Left,English,Labour-leaning tabloid
Europe,United Kingdom,The Observer,Newspaper / Digital,Center-Left,English,Sunday sister of The Guardian
Europe,United Kingdom,Sky News,TV / Digital,Center,English,Comcast-owned; 24hr news
Europe,United Kingdom,Channel 4 News,TV / Digital,Center-Left,English,Publicly-owned; award-winning
Europe,United Kingdom,The Spectator,Magazine / Digital,Right,English,Conservative weekly (est. 1828)
Europe,United Kingdom,New Statesman,Magazine / Digital,Left,English,Progressive political/cultural
Europe,United Kingdom,Private Eye,Magazine,Varies,English,Satirical investigative fortnightly
Europe,United Kingdom,GB News,TV / Digital,Right,English,Conservative TV channel (est. 2021)
Europe,United Kingdom,The Canary,Digital,Far Left,English,Left-wing; pro-Corbyn era
Europe,United Kingdom,Novara Media,Digital,Far Left,English,Socialist media outlet
Europe,United Kingdom,UnHerd,Digital,Center-Right,English,Contrarian / heterodox
Europe,United Kingdom,Bureau of Investigative Journalism,Digital (Nonprofit),Center,English,Nonprofit investigative
Europe,France,Le Monde,Newspaper / Digital,Center-Left,French,Paper of record; evening daily
Europe,France,Le Figaro,Newspaper / Digital,Center-Right,French,Oldest national daily; conservative
Europe,France,Libération,Newspaper / Digital,Left,French,Left-wing; Sartre co-founded
Europe,France,Les Échos,Newspaper / Digital,Center-Right,French,Business daily; LVMH-owned
Europe,France,France 24,TV / Digital,Center,French / English / Arabic,State-funded international news
Europe,France,Mediapart,Digital,Left,French,Investigative; subscription-only
Europe,France,L'Humanité,Newspaper / Digital,Far Left,French,Communist Party affiliated
Europe,France,Valeurs Actuelles,Magazine / Digital,Right,French,Conservative-nationalist weekly
Europe,France,CNews,TV,Right,French,Bolloré-owned; right-wing TV
Europe,France,Le Point,Magazine / Digital,Center-Right,French,Centrist-conservative weekly
Europe,France,L'Obs (Nouvel Obs),Magazine / Digital,Center-Left,French,Progressive newsweekly
Europe,France,AFP (Agence France-Presse),Wire Service,Center,French / Multi,Global wire service; third largest
Europe,France,RFI,Radio / Digital,Center,French / Multi,State-funded international radio
Europe,France,BFM TV,TV / Digital,Center,French,24hr news channel
Europe,Germany,Der Spiegel,Magazine / Digital,Center-Left,German,Largest European newsmagazine
Europe,Germany,Die Zeit,Newspaper / Digital,Center-Left,German,Quality weekly
Europe,Germany,Süddeutsche Zeitung,Newspaper / Digital,Center-Left,German,Largest daily; Panama Papers
Europe,Germany,Frankfurter Allgemeine Zeitung (FAZ),Newspaper / Digital,Center-Right,German,Conservative broadsheet
Europe,Germany,Die Welt,Newspaper / Digital,Center-Right,German,Axel Springer; conservative
Europe,Germany,Bild,Newspaper / Digital,Right,German,Largest-circulation tabloid; Axel Springer
Europe,Germany,Handelsblatt,Newspaper / Digital,Center-Right,German,Business daily
Europe,Germany,Tagesschau / ARD,Public Broadcaster,Center,German,Public TV news; consortium
Europe,Germany,ZDF,Public Broadcaster,Center,German,Second public broadcaster
Europe,Germany,Deutsche Welle (DW),TV / Radio / Digital,Center,German / Multi,State-funded international
Europe,Germany,taz (die tageszeitung),Newspaper / Digital,Left,German,Cooperative-owned; green/left
Europe,Germany,Junge Freiheit,Newspaper / Digital,Far Right,German,Right-wing nationalist weekly
Europe,Germany,Compact,Magazine / Digital,Far Right,German,Right-wing populist (banned 2024)
Europe,Germany,Jacobin (DE),Magazine / Digital,Far Left,German,German edition of socialist mag
Europe,Germany,Correctiv,Digital (Nonprofit),Center,German,Fact-checking and investigative nonprofit
Europe,Italy,Corriere della Sera,Newspaper / Digital,Center,Italian,Milan-based; paper of record
Europe,Italy,La Repubblica,Newspaper / Digital,Center-Left,Italian,GEDI Group; progressive
Europe,Italy,La Stampa,Newspaper / Digital,Center-Left,Italian,Turin-based; GEDI Group
Europe,Italy,Il Sole 24 Ore,Newspaper / Digital,Center-Right,Italian,Business daily; Confindustria
Europe,Italy,Il Giornale,Newspaper / Digital,Right,Italian,Berlusconi family-owned
Europe,Italy,Libero,Newspaper / Digital,Right,Italian,Right-wing populist daily
Europe,Italy,Il Fatto Quotidiano,Newspaper / Digital,Left,Italian,Anti-establishment investigative
Europe,Italy,RAI News,Public Broadcaster,Center,Italian,State broadcaster
Europe,Italy,ANSA,Wire Service,Center,Italian,Italian national wire service
Europe,Italy,Il Manifesto,Newspaper / Digital,Far Left,Italian,Communist daily (cooperative)
Europe,Italy,Domani,Newspaper / Digital,Center-Left,Italian,Founded 2020; investigative
Europe,Spain,El País,Newspaper / Digital,Center-Left,Spanish,Largest Spanish daily; PRISA Group
Europe,Spain,El Mundo,Newspaper / Digital,Center-Right,Spanish,Second largest; Unidad Editorial
Europe,Spain,ABC,Newspaper / Digital,Right,Spanish,Monarchist / conservative
Europe,Spain,La Vanguardia,Newspaper / Digital,Center,Spanish / Catalan,Barcelona-based; Godó Group
Europe,Spain,El Confidencial,Digital,Center,Spanish,Leading digital-native
Europe,Spain,elDiario.es,Digital,Left,Spanish,Member-funded progressive
Europe,Spain,Público,Digital,Left,Spanish,Left-wing digital
Europe,Spain,Libertad Digital,Digital,Right,Spanish,Right-wing; Federico Jiménez Losantos
Europe,Spain,OKDiario,Digital,Right,Spanish,Right-wing populist
Europe,Spain,RTVE,Public Broadcaster,Center,Spanish,State broadcaster
Europe,Spain,Ara,Newspaper / Digital,Center-Left,Catalan,Pro-independence Catalan daily
Europe,Spain,EFE,Wire Service,Center,Spanish,Fourth largest wire service globally
Europe,Netherlands,De Volkskrant,Newspaper / Digital,Center-Left,Dutch,Quality progressive daily
Europe,Netherlands,NRC Handelsblad,Newspaper / Digital,Center,Dutch,Quality liberal daily
Europe,Netherlands,De Telegraaf,Newspaper / Digital,Center-Right,Dutch,Largest Dutch daily; populist
Europe,Netherlands,Trouw,Newspaper / Digital,Center-Left,Dutch,Progressive quality daily
Europe,Netherlands,NOS,Public Broadcaster,Center,Dutch,Dutch public broadcasting news
Europe,Netherlands,Follow the Money,Digital,Center,Dutch,Investigative journalism platform
Europe,Netherlands,GeenStijl,Digital,Right,Dutch,Provocative right-wing blog
Europe,Belgium,De Standaard,Newspaper / Digital,Center,Dutch,Quality Flemish daily
Europe,Belgium,De Morgen,Newspaper / Digital,Center-Left,Dutch,Progressive Flemish daily
Europe,Belgium,Le Soir,Newspaper / Digital,Center-Left,French,Major Francophone daily
Europe,Belgium,La Libre Belgique,Newspaper / Digital,Center-Right,French,Catholic conservative
Europe,Belgium,VRT NWS,Public Broadcaster,Center,Dutch,Flemish public broadcaster
Europe,Belgium,RTBF,Public Broadcaster,Center,French,Francophone public broadcaster
Europe,Belgium,Apache,Digital,Center-Left,Dutch,Investigative Flemish
Europe,Belgium,Knack,Magazine / Digital,Center,Dutch,Flemish newsweekly
Europe,Switzerland,Neue Zürcher Zeitung (NZZ),Newspaper / Digital,Center-Right,German,Classical liberal; globally respected
Europe,Switzerland,Tages-Anzeiger,Newspaper / Digital,Center-Left,German,Zurich-based; Tamedia
Europe,Switzerland,Le Temps,Newspaper / Digital,Center,French,Leading Francophone Swiss
Europe,Switzerland,SRF / RTS / RSI,Public Broadcaster,Center,Multi,Swiss public broadcasting (3 language regions)
Europe,Switzerland,Blick,Newspaper / Digital,Center,German,Largest Swiss tabloid
Europe,Switzerland,WOZ,Newspaper,Left,German,Weekly; cooperative-owned
Europe,Switzerland,Weltwoche,Magazine / Digital,Right,German,Right-wing; Roger Köppel
Europe,Switzerland,Republik,Digital,Center-Left,German,Crowdfunded digital magazine
Europe,Austria,Der Standard,Newspaper / Digital,Center-Left,German,Quality daily; liberal
Europe,Austria,Die Presse,Newspaper / Digital,Center-Right,German,Conservative quality daily
Europe,Austria,Kronen Zeitung,Newspaper / Digital,Right,German,Largest tabloid; enormous reach
Europe,Austria,ORF,Public Broadcaster,Center,German,Austrian public broadcaster
Europe,Austria,Profil,Magazine / Digital,Center-Left,German,Newsweekly; investigative
Europe,Austria,Falter,Magazine / Digital,Center-Left,German,Vienna city magazine; investigative
Europe,Austria,eXXpress,Digital,Right,German,Right-wing digital; FPÖ-sympathetic
Europe,Portugal,Público,Newspaper / Digital,Center-Left,Portuguese,Quality reference daily
Europe,Portugal,Diário de Notícias,Newspaper / Digital,Center,Portuguese,Historic daily
Europe,Portugal,Expresso,Newspaper / Digital,Center,Portuguese,Leading weekly
Europe,Portugal,Observador,Digital,Center-Right,Portuguese,Digital native; liberal-conservative
Europe,Portugal,RTP,Public Broadcaster,Center,Portuguese,State broadcaster
Europe,Portugal,Jornal de Notícias,Newspaper / Digital,Center,Portuguese,Porto-based popular daily
Europe,Portugal,Lusa,Wire Service,Center,Portuguese,Portuguese news agency
Europe,Ireland,The Irish Times,Newspaper / Digital,Center-Left,English,Paper of record; trust-owned
Europe,Ireland,Irish Independent,Newspaper / Digital,Center-Right,English,Largest circulation; Mediahuis
Europe,Ireland,RTÉ,Public Broadcaster,Center,English / Irish,State broadcaster
Europe,Ireland,The Journal.ie,Digital,Center,English,Digital native news
Europe,Ireland,TheJournal FactCheck,Digital,Center,English,Fact-checking arm
Europe,Ireland,Gript,Digital,Right,English,Right-wing; anti-immigration
Europe,Sweden,Dagens Nyheter,Newspaper / Digital,Center-Left,Swedish,Quality liberal daily
Europe,Sweden,Svenska Dagbladet (SvD),Newspaper / Digital,Center-Right,Swedish,Conservative broadsheet
Europe,Sweden,Aftonbladet,Newspaper / Digital,Center-Left,Swedish,Largest tabloid; LO-connected
Europe,Sweden,Expressen,Newspaper / Digital,Center,Swedish,Liberal tabloid
Europe,Sweden,SVT Nyheter,Public Broadcaster,Center,Swedish,Swedish public TV news
Europe,Sweden,Sveriges Radio (SR),Public Radio,Center,Swedish,Public radio
Europe,Sweden,Göteborgs-Posten,Newspaper / Digital,Center,Swedish,Major regional
Europe,Sweden,ETC,Newspaper / Digital,Left,Swedish,Cooperative-owned left daily
Europe,Sweden,Nya Tider,Newspaper / Digital,Far Right,Swedish,Nationalist
Europe,Sweden,Filter,Magazine / Digital,Center,Swedish,Investigative
Europe,Norway,Aftenposten,Newspaper / Digital,Center,Norwegian,Largest subscription daily
Europe,Norway,VG (Verdens Gang),Newspaper / Digital,Center,Norwegian,Largest tabloid
Europe,Norway,Dagbladet,Newspaper / Digital,Center-Left,Norwegian,Radical liberal tabloid
Europe,Norway,NRK,Public Broadcaster,Center,Norwegian,Norwegian Broadcasting Corp
Europe,Norway,Klassekampen,Newspaper / Digital,Left,Norwegian,Left-wing daily
Europe,Norway,Nettavisen,Digital,Center-Right,Norwegian,Digital tabloid
Europe,Norway,Morgenbladet,Newspaper / Digital,Center-Left,Norwegian,Weekly; intellectual
Europe,Denmark,Politiken,Newspaper / Digital,Center-Left,Danish,Cultural radical daily
Europe,Denmark,Berlingske,Newspaper / Digital,Center-Right,Danish,Conservative broadsheet
Europe,Denmark,Jyllands-Posten,Newspaper / Digital,Center-Right,Danish,Largest daily; Muhammad cartoons
Europe,Denmark,DR (Danmarks Radio),Public Broadcaster,Center,Danish,Danish public broadcaster
Europe,Denmark,Information,Newspaper / Digital,Left,Danish,Intellectual left daily
Europe,Denmark,Ekstra Bladet,Newspaper / Digital,Center,Danish,Populist tabloid
Europe,Denmark,Zetland,Digital,Center-Left,Danish,Digital; constructive journalism
Europe,Finland,Helsingin Sanomat,Newspaper / Digital,Center,Finnish,Largest Nordic daily
Europe,Finland,Ilta-Sanomat,Newspaper / Digital,Center,Finnish,Tabloid
Europe,Finland,Iltalehti,Newspaper / Digital,Center,Finnish,Second tabloid
Europe,Finland,Yle,Public Broadcaster,Center,Finnish / Swedish,Finnish Broadcasting Company
Europe,Finland,Hufvudstadsbladet,Newspaper / Digital,Center,Swedish,Swedish-language Finnish daily
Europe,Finland,Long Play,Digital,Center-Left,Finnish,Investigative longform
Europe,Iceland,Morgunblaðið,Newspaper / Digital,Center-Right,Icelandic,Largest daily
Europe,Iceland,RÚV,Public Broadcaster,Center,Icelandic,National Broadcasting Service
Europe,Iceland,Stundin,Digital,Center-Left,Icelandic,Investigative outlet
Europe,Poland,Gazeta Wyborcza,Newspaper / Digital,Center-Left,Polish,Founded by Michnik; Agora SA
Europe,Poland,Rzeczpospolita,Newspaper / Digital,Center-Right,Polish,Quality broadsheet; legal focus
Europe,Poland,TVN24,TV / Digital,Center-Left,Polish,Warner Bros. Discovery Poland
Europe,Poland,TVP (Telewizja Polska),Public Broadcaster,Varies,Polish,State TV; bias shifts with government
Europe,Poland,Newsweek Polska,Magazine / Digital,Center-Left,Polish,Newsweek license
Europe,Poland,Do Rzeczy,Magazine / Digital,Right,Polish,Conservative weekly
Europe,Poland,wSieci / wPolityce,Magazine / Digital,Right,Polish,PiS-aligned conservative
Europe,Poland,OKO.press,Digital,Center-Left,Polish,Fact-checking / investigative
Europe,Poland,Onet,Digital,Center,Polish,Major portal
Europe,Poland,Krytyka Polityczna,Magazine / Digital,Left,Polish,Left-wing intellectual
Europe,Czech Republic,Hospodářské noviny,Newspaper / Digital,Center,Czech,Business daily
Europe,Czech Republic,Deník N,Digital,Center-Left,Czech,Quality subscription digital
Europe,Czech Republic,Respekt,Magazine / Digital,Center-Left,Czech,Quality weekly
Europe,Czech Republic,iDNES.cz,Digital,Center-Right,Czech,Major portal; Babiš-owned MAFRA
Europe,Czech Republic,Aktuálně.cz,Digital,Center,Czech,Economia-owned
